_id,epi_week,disease,no._of_cases
147,2012-W05,Pneumococcal Disease (invasive),5
148,2012-W05,Poliomyelitis,0
149,2012-W05,Rubella,0
150,2012-W05,Salmonellosis(non-enteric fevers),37
151,2012-W05,SARS,0
152,2012-W05,Typhoid,5
153,2012-W05,Viral Hepatitis A,2
154,2012-W05,Viral Hepatitis E,0
155,2012-W05,Yellow Fever,0
156,2012-W06,Acute Viral hepatitis B,1
157,2012-W06,Acute Viral hepatitis C,0
158,2012-W06,Avian Influenza,0
159,2012-W06,Campylobacterenterosis,5
160,2012-W06,Chikungunya Fever,0
161,2012-W06,Cholera,0
162,2012-W06,Dengue Fever,87
163,2012-W06,Dengue Haemorrhagic Fever,0
164,2012-W06,Diphtheria,0
165,2012-W06,Encephalitis,2
166,2012-W06,Haemophilus influenzae type b,0
167,2012-W06,"Hand, Foot Mouth Disease",683
168,2012-W06,Legionellosis,1
169,2012-W06,Malaria,2
170,2012-W06,Measles,4
171,2012-W06,Melioidosis,1
172,2012-W06,Meningococcal Infection,0
173,2012-W06,Mumps,12
174,2012-W06,Nipah virus infection,0
175,2012-W06,Paratyphoid,2
176,2012-W06,Pertussis,0
177,2012-W06,Plague,0
178,2012-W06,Pneumococcal Disease (invasive),4
179,2012-W06,Poliomyelitis,0
180,2012-W06,Rubella,2
181,2012-W06,Salmonellosis(non-enteric fevers),40
182,2012-W06,SARS,0
183,2012-W06,Typhoid,0
184,2012-W06,Viral Hepatitis A,0
185,2012-W06,Viral Hepatitis E,4
186,2012-W06,Yellow Fever,0
187,2012-W07,Acute Viral hepatitis B,0
188,2012-W07,Acute Viral hepatitis C,0
189,2012-W07,Avian Influenza,0
190,2012-W07,Campylobacterenterosis,8
191,2012-W07,Chikungunya Fever,0
192,2012-W07,Cholera,0
193,2012-W07,Dengue Fever,65
194,2012-W07,Dengue Haemorrhagic Fever,0
195,2012-W07,Diphtheria,0
196,2012-W07,Encephalitis,0
197,2012-W07,Haemophilus influenzae type b,0
198,2012-W07,"Hand, Foot Mouth Disease",810
199,2012-W07,Legionellosis,0
200,2012-W07,Malaria,1
201,2012-W07,Measles,1
202,2012-W07,Melioidosis,0
203,2012-W07,Meningococcal Infection,0
204,2012-W07,Mumps,12
205,2012-W07,Nipah virus infection,0
206,2012-W07,Paratyphoid,1
207,2012-W07,Pertussis,0
208,2012-W07,Plague,0
209,2012-W07,Pneumococcal Disease (invasive),3
210,2012-W07,Poliomyelitis,0
211,2012-W07,Rubella,4
212,2012-W07,Salmonellosis(non-enteric fevers),29
213,2012-W07,SARS,0
214,2012-W07,Typhoid,2
215,2012-W07,Viral Hepatitis A,0
216,2012-W07,Viral Hepatitis E,2
217,2012-W07,Yellow Fever,0
218,2012-W08,Acute Viral hepatitis B,0
219,2012-W08,Acute Viral hepatitis C,0
220,2012-W08,Avian Influenza,0
221,2012-W08,Campylobacterenterosis,8
222,2012-W08,Chikungunya Fever,1
223,2012-W08,Cholera,0
224,2012-W08,Dengue Fever,50
225,2012-W08,Dengue Haemorrhagic Fever,1
226,2012-W08,Diphtheria,0
227,2012-W08,Encephalitis,0
228,2012-W08,Haemophilus influenzae type b,0
229,2012-W08,"Hand, Foot Mouth Disease",989
230,2012-W08,Legionellosis,0
231,2012-W08,Malaria,0
232,2012-W08,Measles,2
233,2012-W08,Melioidosis,1
234,2012-W08,Meningococcal Infection,0
235,2012-W08,Mumps,18
236,2012-W08,Nipah virus infection,0
237,2012-W08,Paratyphoid,4
238,2012-W08,Pertussis,0
239,2012-W08,Plague,0
240,2012-W08,Pneumococcal Disease (invasive),3
241,2012-W08,Poliomyelitis,0
242,2012-W08,Rubella,0
243,2012-W08,Salmonellosis(non-enteric fevers),12
244,2012-W08,SARS,0
245,2012-W08,Typhoid,3
246,2012-W08,Viral Hepatitis A,0
247,2012-W08,Viral Hepatitis E,3
248,2012-W08,Yellow Fever,0
249,2012-W09,Acute Viral hepatitis B,2
250,2012-W09,Acute Viral hepatitis C,0
251,2012-W09,Avian Influenza,0
252,2012-W09,Campylobacterenterosis,6
253,2012-W09,Chikungunya Fever,1
254,2012-W09,Cholera,0
255,2012-W09,Dengue Fever,55
256,2012-W09,Dengue Haemorrhagic Fever,0
257,2012-W09,Diphtheria,0
258,2012-W09,Encephalitis,0
259,2012-W09,Haemophilus influenzae type b,0
260,2012-W09,"Hand, Foot Mouth Disease",1115
261,2012-W09,Legionellosis,1
262,2012-W09,Malaria,0
263,2012-W09,Measles,1
264,2012-W09,Melioidosis,1
265,2012-W09,Meningococcal Infection,0
266,2012-W09,Mumps,10
267,2012-W09,Nipah virus infection,0
268,2012-W09,Paratyphoid,4
269,2012-W09,Pertussis,3
270,2012-W09,Plague,0
271,2012-W09,Pneumococcal Disease (invasive),2
272,2012-W09,Poliomyelitis,0
273,2012-W09,Rubella,2
274,2012-W09,Salmonellosis(non-enteric fevers),27
275,2012-W09,SARS,0
276,2012-W09,Typhoid,1
277,2012-W09,Viral Hepatitis A,2
278,2012-W09,Viral Hepatitis E,0
279,2012-W09,Yellow Fever,0
280,2012-W10,Acute Viral hepatitis B,3
281,2012-W10,Acute Viral hepatitis C,1
282,2012-W10,Avian Influenza,0
283,2012-W10,Campylobacterenterosis,12
284,2012-W10,Chikungunya Fever,2
285,2012-W10,Cholera,0
286,2012-W10,Dengue Fever,45
287,2012-W10,Dengue Haemorrhagic Fever,1
288,2012-W10,Diphtheria,0
289,2012-W10,Encephalitis,1
290,2012-W10,Haemophilus influenzae type b,0
291,2012-W10,"Hand, Foot Mouth Disease",1139
292,2012-W10,Legionellosis,1
293,2012-W10,Malaria,4
294,2012-W10,Measles,0
295,2012-W10,Melioidosis,0
296,2012-W10,Meningococcal Infection,0
297,2012-W10,Mumps,16
298,2012-W10,Nipah virus infection,0
299,2012-W10,Paratyphoid,2
300,2012-W10,Pertussis,0
301,2012-W10,Plague,0
302,2012-W10,Pneumococcal Disease (invasive),9
303,2012-W10,Poliomyelitis,0
304,2012-W10,Rubella,0
305,2012-W10,Salmonellosis(non-enteric fevers),28
306,2012-W10,SARS,0
307,2012-W10,Typhoid,1
308,2012-W10,Viral Hepatitis A,2
309,2012-W10,Viral Hepatitis E,3
310,2012-W10,Yellow Fever,0
311,2012-W11,Acute Viral hepatitis B,0
312,2012-W11,Acute Viral hepatitis C,0
313,2012-W11,Avian Influenza,0
314,2012-W11,Campylobacterenterosis,10
315,2012-W11,Chikungunya Fever,0
316,2012-W11,Cholera,0
317,2012-W11,Dengue Fever,64
318,2012-W11,Dengue Haemorrhagic Fever,0
319,2012-W11,Diphtheria,0
320,2012-W11,Encephalitis,1
321,2012-W11,Haemophilus influenzae type b,0
322,2012-W11,"Hand, Foot Mouth Disease",1011
323,2012-W11,Legionellosis,1
324,2012-W11,Malaria,2
325,2012-W11,Measles,1
326,2012-W11,Melioidosis,1
327,2012-W11,Meningococcal Infection,0
328,2012-W11,Mumps,8
329,2012-W11,Nipah virus infection,0
330,2012-W11,Paratyphoid,2
331,2012-W11,Pertussis,0
332,2012-W11,Plague,0
333,2012-W11,Pneumococcal Disease (invasive),2
334,2012-W11,Poliomyelitis,0
335,2012-W11,Rubella,1
336,2012-W11,Salmonellosis(non-enteric fevers),36
337,2012-W11,SARS,0
338,2012-W11,Typhoid,1
339,2012-W11,Viral Hepatitis A,1
340,2012-W11,Viral Hepatitis E,2
341,2012-W11,Yellow Fever,0
342,2012-W12,Acute Viral hepatitis B,1
343,2012-W12,Acute Viral hepatitis C,0
344,2012-W12,Avian Influenza,0
345,2012-W12,Campylobacterenterosis,5
346,2012-W12,Chikungunya Fever,0
347,2012-W12,Cholera,0
348,2012-W12,Dengue Fever,72
349,2012-W12,Dengue Haemorrhagic Fever,1
350,2012-W12,Diphtheria,0
351,2012-W12,Encephalitis,2
352,2012-W12,Haemophilus influenzae type b,0
353,2012-W12,"Hand, Foot Mouth Disease",1018
354,2012-W12,Legionellosis,1
355,2012-W12,Malaria,2
356,2012-W12,Measles,1
357,2012-W12,Melioidosis,0
358,2012-W12,Meningococcal Infection,0
359,2012-W12,Mumps,11
360,2012-W12,Nipah virus infection,0
361,2012-W12,Paratyphoid,1
362,2012-W12,Pertussis,3
363,2012-W12,Plague,0
364,2012-W12,Pneumococcal Disease (invasive),3
365,2012-W12,Poliomyelitis,0
366,2012-W12,Rubella,0
367,2012-W12,Salmonellosis(non-enteric fevers),26
368,2012-W12,SARS,0
369,2012-W12,Typhoid,1
370,2012-W12,Viral Hepatitis A,0
371,2012-W12,Viral Hepatitis E,2
372,2012-W12,Yellow Fever,0
373,2012-W13,Acute Viral hepatitis B,2
374,2012-W13,Acute Viral hepatitis C,0
375,2012-W13,Avian Influenza,0
376,2012-W13,Campylobacterenterosis,14
377,2012-W13,Chikungunya Fever,0
378,2012-W13,Cholera,0
379,2012-W13,Dengue Fever,48
380,2012-W13,Dengue Haemorrhagic Fever,0
381,2012-W13,Diphtheria,0
382,2012-W13,Encephalitis,0
383,2012-W13,Haemophilus influenzae type b,0
384,2012-W13,"Hand, Foot Mouth Disease",1017
385,2012-W13,Legionellosis,2
386,2012-W13,Malaria,4
387,2012-W13,Measles,0
388,2012-W13,Melioidosis,0
389,2012-W13,Meningococcal Infection,0
390,2012-W13,Mumps,15
391,2012-W13,Nipah virus infection,0
392,2012-W13,Paratyphoid,0
393,2012-W13,Pertussis,1
394,2012-W13,Plague,0
395,2012-W13,Pneumococcal Disease (invasive),0
396,2012-W13,Poliomyelitis,0
397,2012-W13,Rubella,2
398,2012-W13,Salmonellosis(non-enteric fevers),27
399,2012-W13,SARS,0
400,2012-W13,Typhoid,2
401,2012-W13,Viral Hepatitis A,1
402,2012-W13,Viral Hepatitis E,2
403,2012-W13,Yellow Fever,0
404,2012-W14,Acute Viral hepatitis B,0
405,2012-W14,Acute Viral hepatitis C,0
406,2012-W14,Avian Influenza,0
407,2012-W14,Campylobacterenterosis,2
408,2012-W14,Chikungunya Fever,0
409,2012-W14,Cholera,0
410,2012-W14,Dengue Fever,52
411,2012-W14,Dengue Haemorrhagic Fever,0
412,2012-W14,Diphtheria,0
413,2012-W14,Encephalitis,0
414,2012-W14,Haemophilus influenzae type b,0
415,2012-W14,"Hand, Foot Mouth Disease",952
416,2012-W14,Legionellosis,0
417,2012-W14,Malaria,2
418,2012-W14,Measles,0
419,2012-W14,Melioidosis,0
420,2012-W14,Meningococcal Infection,0
421,2012-W14,Mumps,6
422,2012-W14,Nipah virus infection,0
423,2012-W14,Paratyphoid,0
424,2012-W14,Pertussis,1
425,2012-W14,Plague,0
426,2012-W14,Pneumococcal Disease (invasive),1
427,2012-W14,Poliomyelitis,0
428,2012-W14,Rubella,2
429,2012-W14,Salmonellosis(non-enteric fevers),27
430,2012-W14,SARS,0
431,2012-W14,Typhoid,1
432,2012-W14,Viral Hepatitis A,0
433,2012-W14,Viral Hepatitis E,2
434,2012-W14,Yellow Fever,0
435,2012-W15,Acute Viral hepatitis B,0
436,2012-W15,Acute Viral hepatitis C,0
437,2012-W15,Avian Influenza,0
438,2012-W15,Campylobacterenterosis,12
439,2012-W15,Chikungunya Fever,1
440,2012-W15,Cholera,0
441,2012-W15,Dengue Fever,81
442,2012-W15,Dengue Haemorrhagic Fever,1
443,2012-W15,Diphtheria,0
444,2012-W15,Encephalitis,0
445,2012-W15,Haemophilus influenzae type b,0
446,2012-W15,"Hand, Foot Mouth Disease",1167
447,2012-W15,Legionellosis,2
448,2012-W15,Malaria,2
449,2012-W15,Measles,0
450,2012-W15,Melioidosis,1
451,2012-W15,Meningococcal Infection,0
452,2012-W15,Mumps,13
453,2012-W15,Nipah virus infection,0
454,2012-W15,Paratyphoid,2
455,2012-W15,Pertussis,0
456,2012-W15,Plague,0
457,2012-W15,Pneumococcal Disease (invasive),1
458,2012-W15,Poliomyelitis,0
459,2012-W15,Rubella,2
460,2012-W15,Salmonellosis(non-enteric fevers),25
461,2012-W15,SARS,0
462,2012-W15,Typhoid,2
463,2012-W15,Viral Hepatitis A,0
464,2012-W15,Viral Hepatitis E,0
465,2012-W15,Yellow Fever,0
466,2012-W16,Acute Viral hepatitis B,0
467,2012-W16,Acute Viral hepatitis C,0
468,2012-W16,Avian Influenza,0
469,2012-W16,Campylobacterenterosis,6
470,2012-W16,Chikungunya Fever,1
471,2012-W16,Cholera,0
472,2012-W16,Dengue Fever,77
473,2012-W16,Dengue Haemorrhagic Fever,0
474,2012-W16,Diphtheria,0
475,2012-W16,Encephalitis,0
476,2012-W16,Haemophilus influenzae type b,0
477,2012-W16,"Hand, Foot Mouth Disease",1387
478,2012-W16,Legionellosis,1
479,2012-W16,Malaria,4
480,2012-W16,Measles,0
481,2012-W16,Melioidosis,1
482,2012-W16,Meningococcal Infection,0
483,2012-W16,Mumps,15
484,2012-W16,Nipah virus infection,0
485,2012-W16,Paratyphoid,0
486,2012-W16,Pertussis,0
487,2012-W16,Plague,0
488,2012-W16,Pneumococcal Disease (invasive),2
489,2012-W16,Poliomyelitis,0
490,2012-W16,Rubella,2
491,2012-W16,Salmonellosis(non-enteric fevers),36
492,2012-W16,SARS,0
493,2012-W16,Typhoid,0
494,2012-W16,Viral Hepatitis A,4
495,2012-W16,Viral Hepatitis E,2
496,2012-W16,Yellow Fever,0
497,2012-W17,Acute Viral hepatitis B,0
498,2012-W17,Acute Viral hepatitis C,0
499,2012-W17,Avian Influenza,0
500,2012-W17,Campylobacterenterosis,14
501,2012-W17,Chikungunya Fever,0
502,2012-W17,Cholera,0
503,2012-W17,Dengue Fever,64
504,2012-W17,Dengue Haemorrhagic Fever,0
505,2012-W17,Diphtheria,0
506,2012-W17,Encephalitis,1
507,2012-W17,Haemophilus influenzae type b,0
508,2012-W17,"Hand, Foot Mouth Disease",1581
