_id,epi_week,disease,no._of_cases
5286,2015-W14,Melioidosis,1
5287,2015-W14,Meningococcal Infection,0
5288,2015-W14,Mumps,12
5289,2015-W14,Nipah virus infection,0
5290,2015-W14,Paratyphoid,0
5291,2015-W14,Pertussis,1
5292,2015-W14,Plague,0
5293,2015-W14,Pneumococcal Disease (invasive),4
5294,2015-W14,Poliomyelitis,0
5295,2015-W14,Rubella,1
5296,2015-W14,Salmonellosis(non-enteric fevers),37
5297,2015-W14,SARS,0
5298,2015-W14,Typhoid,0
5299,2015-W14,Viral Hepatitis A,0
5300,2015-W14,Viral Hepatitis E,0
5301,2015-W14,Yellow Fever,0
5302,2015-W15,Acute Viral hepatitis B,0
5303,2015-W15,Acute Viral hepatitis C,0
5304,2015-W15,Avian Influenza,0
5305,2015-W15,Campylobacterenterosis,9
5306,2015-W15,Chikungunya Fever,1
5307,2015-W15,Cholera,0
5308,2015-W15,Dengue Fever,137
5309,2015-W15,Dengue Haemorrhagic Fever,0
5310,2015-W15,Diphtheria,0
5311,2015-W15,Encephalitis,1
5312,2015-W15,Haemophilus influenzae type b,0
5313,2015-W15,"Hand, Foot Mouth Disease",633
5314,2015-W15,Legionellosis,1
5315,2015-W15,Malaria,0
5316,2015-W15,Measles,4
5317,2015-W15,Melioidosis,0
5318,2015-W15,Meningococcal Infection,0
5319,2015-W15,Mumps,11
5320,2015-W15,Nipah virus infection,0
5321,2015-W15,Paratyphoid,1
5322,2015-W15,Pertussis,1
5323,2015-W15,Plague,0
5324,2015-W15,Pneumococcal Disease (invasive),2
5325,2015-W15,Poliomyelitis,0
5326,2015-W15,Rubella,0
5327,2015-W15,Salmonellosis(non-enteric fevers),34
5328,2015-W15,SARS,0
5329,2015-W15,Typhoid,0
5330,2015-W15,Viral Hepatitis A,0
5331,2015-W15,Viral Hepatitis E,2
5332,2015-W15,Yellow Fever,0
5333,2015-W16,Acute Viral hepatitis B,2
5334,2015-W16,Acute Viral hepatitis C,0
5335,2015-W16,Avian Influenza,0
5336,2015-W16,Campylobacterenterosis,14
5337,2015-W16,Chikungunya Fever,2
5338,2015-W16,Cholera,0
5339,2015-W16,Dengue Fever,113
5340,2015-W16,Dengue Haemorrhagic Fever,0
5341,2015-W16,Diphtheria,0
5342,2015-W16,Encephalitis,1
5343,2015-W16,Haemophilus influenzae type b,0
5344,2015-W16,"Hand, Foot Mouth Disease",693
5345,2015-W16,Legionellosis,1
5346,2015-W16,Malaria,1
5347,2015-W16,Measles,2
5348,2015-W16,Melioidosis,1
5349,2015-W16,Meningococcal Infection,0
5350,2015-W16,Mumps,13
5351,2015-W16,Nipah virus infection,0
5352,2015-W16,Paratyphoid,2
5353,2015-W16,Pertussis,1
5354,2015-W16,Plague,0
5355,2015-W16,Pneumococcal Disease (invasive),0
5356,2015-W16,Poliomyelitis,0
5357,2015-W16,Rubella,0
5358,2015-W16,Salmonellosis(non-enteric fevers),40
5359,2015-W16,SARS,0
5360,2015-W16,Typhoid,1
5361,2015-W16,Viral Hepatitis A,1
5362,2015-W16,Viral Hepatitis E,2
5363,2015-W16,Yellow Fever,0
5364,2015-W17,Acute Viral hepatitis B,3
5365,2015-W17,Acute Viral hepatitis C,1
5366,2015-W17,Avian Influenza,0
5367,2015-W17,Campylobacterenterosis,8
5368,2015-W17,Chikungunya Fever,0
5369,2015-W17,Cholera,0
5370,2015-W17,Dengue Fever,120
5371,2015-W17,Dengue Haemorrhagic Fever,0
5372,2015-W17,Diphtheria,0
5373,2015-W17,Encephalitis,0
5374,2015-W17,Haemophilus influenzae type b,0
5375,2015-W17,"Hand, Foot Mouth Disease",721
5376,2015-W17,Legionellosis,0
5377,2015-W17,Malaria,1
5378,2015-W17,Measles,1
5379,2015-W17,Melioidosis,0
5380,2015-W17,Meningococcal Infection,0
5381,2015-W17,Mumps,6
5382,2015-W17,Nipah virus infection,0
5383,2015-W17,Paratyphoid,0
5384,2015-W17,Pertussis,2
5385,2015-W17,Plague,0
5386,2015-W17,Pneumococcal Disease (invasive),2
5387,2015-W17,Poliomyelitis,0
5388,2015-W17,Rubella,1
5389,2015-W17,Salmonellosis(non-enteric fevers),29
5390,2015-W17,SARS,0
5391,2015-W17,Typhoid,1
5392,2015-W17,Viral Hepatitis A,0
5393,2015-W17,Viral Hepatitis E,1
5394,2015-W17,Yellow Fever,0
5395,2015-W18,Acute Viral hepatitis B,1
5396,2015-W18,Acute Viral hepatitis C,0
5397,2015-W18,Avian Influenza,0
5398,2015-W18,Campylobacterenterosis,5
5399,2015-W18,Chikungunya Fever,1
5400,2015-W18,Cholera,0
5401,2015-W18,Dengue Fever,135
5402,2015-W18,Dengue Haemorrhagic Fever,0
5403,2015-W18,Diphtheria,0
5404,2015-W18,Encephalitis,1
5405,2015-W18,Haemophilus influenzae type b,0
5406,2015-W18,"Hand, Foot Mouth Disease",778
5407,2015-W18,Legionellosis,0
5408,2015-W18,Malaria,1
5409,2015-W18,Measles,0
5410,2015-W18,Melioidosis,1
5411,2015-W18,Meningococcal Infection,0
5412,2015-W18,Mumps,12
5413,2015-W18,Nipah virus infection,0
5414,2015-W18,Paratyphoid,0
5415,2015-W18,Pertussis,0
5416,2015-W18,Plague,0
5417,2015-W18,Pneumococcal Disease (invasive),4
5418,2015-W18,Poliomyelitis,0
5419,2015-W18,Rubella,0
5420,2015-W18,Salmonellosis(non-enteric fevers),31
5421,2015-W18,SARS,0
5422,2015-W18,Typhoid,2
5423,2015-W18,Viral Hepatitis A,0
5424,2015-W18,Viral Hepatitis E,2
5425,2015-W18,Yellow Fever,0
5426,2015-W19,Acute Viral hepatitis B,2
5427,2015-W19,Acute Viral hepatitis C,0
5428,2015-W19,Avian Influenza,0
5429,2015-W19,Campylobacterenterosis,8
5430,2015-W19,Chikungunya Fever,0
5431,2015-W19,Cholera,0
5432,2015-W19,Dengue Fever,157
5433,2015-W19,Dengue Haemorrhagic Fever,1
5434,2015-W19,Diphtheria,0
5435,2015-W19,Encephalitis,0
5436,2015-W19,Haemophilus influenzae type b,0
5437,2015-W19,"Hand, Foot Mouth Disease",782
5438,2015-W19,Legionellosis,1
5439,2015-W19,Malaria,1
5440,2015-W19,Measles,1
5441,2015-W19,Melioidosis,0
5442,2015-W19,Meningococcal Infection,0
5443,2015-W19,Mumps,12
5444,2015-W19,Nipah virus infection,0
5445,2015-W19,Paratyphoid,0
5446,2015-W19,Pertussis,2
5447,2015-W19,Plague,0
5448,2015-W19,Pneumococcal Disease (invasive),2
5449,2015-W19,Poliomyelitis,0
5450,2015-W19,Rubella,1
5451,2015-W19,Salmonellosis(non-enteric fevers),24
5452,2015-W19,SARS,0
5453,2015-W19,Typhoid,2
5454,2015-W19,Viral Hepatitis A,0
5455,2015-W19,Viral Hepatitis E,1
5456,2015-W19,Yellow Fever,0
5457,2015-W20,Acute Viral hepatitis B,2
5458,2015-W20,Acute Viral hepatitis C,0
5459,2015-W20,Avian Influenza,0
5460,2015-W20,Campylobacterenterosis,9
5461,2015-W20,Chikungunya Fever,0
5462,2015-W20,Cholera,0
5463,2015-W20,Dengue Fever,109
5464,2015-W20,Dengue Haemorrhagic Fever,0
5465,2015-W20,Diphtheria,0
5466,2015-W20,Encephalitis,0
5467,2015-W20,Haemophilus influenzae type b,0
5468,2015-W20,"Hand, Foot Mouth Disease",855
5469,2015-W20,Legionellosis,0
5470,2015-W20,Malaria,0
5471,2015-W20,Measles,1
5472,2015-W20,Melioidosis,0
5473,2015-W20,Meningococcal Infection,0
5474,2015-W20,Mumps,9
5475,2015-W20,Nipah virus infection,0
5476,2015-W20,Paratyphoid,0
5477,2015-W20,Pertussis,0
5478,2015-W20,Plague,0
5479,2015-W20,Pneumococcal Disease (invasive),6
5480,2015-W20,Poliomyelitis,0
5481,2015-W20,Rubella,0
5482,2015-W20,Salmonellosis(non-enteric fevers),36
5483,2015-W20,SARS,0
5484,2015-W20,Typhoid,1
5485,2015-W20,Viral Hepatitis A,2
5486,2015-W20,Viral Hepatitis E,0
5487,2015-W20,Yellow Fever,0
5488,2015-W21,Acute Viral hepatitis B,1
5489,2015-W21,Acute Viral hepatitis C,0
5490,2015-W21,Avian Influenza,0
5491,2015-W21,Campylobacterenterosis,9
5492,2015-W21,Chikungunya Fever,2
5493,2015-W21,Cholera,0
5494,2015-W21,Dengue Fever,178
5495,2015-W21,Dengue Haemorrhagic Fever,2
5496,2015-W21,Diphtheria,0
5497,2015-W21,Encephalitis,3
5498,2015-W21,Haemophilus influenzae type b,0
5499,2015-W21,"Hand, Foot Mouth Disease",1004
5500,2015-W21,Legionellosis,0
5501,2015-W21,Malaria,1
5502,2015-W21,Measles,1
5503,2015-W21,Melioidosis,1
5504,2015-W21,Meningococcal Infection,0
5505,2015-W21,Mumps,11
5506,2015-W21,Nipah virus infection,0
5507,2015-W21,Paratyphoid,0
5508,2015-W21,Pertussis,0
5509,2015-W21,Plague,0
5510,2015-W21,Pneumococcal Disease (invasive),2
5511,2015-W21,Poliomyelitis,0
5512,2015-W21,Rubella,1
5513,2015-W21,Salmonellosis(non-enteric fevers),36
5514,2015-W21,SARS,0
5515,2015-W21,Typhoid,1
5516,2015-W21,Viral Hepatitis A,1
5517,2015-W21,Viral Hepatitis E,2
5518,2015-W21,Yellow Fever,0
5519,2015-W22,Acute Viral hepatitis B,1
5520,2015-W22,Acute Viral hepatitis C,0
5521,2015-W22,Avian Influenza,0
5522,2015-W22,Campylobacterenterosis,7
5523,2015-W22,Chikungunya Fever,1
5524,2015-W22,Cholera,0
5525,2015-W22,Dengue Fever,151
5526,2015-W22,Dengue Haemorrhagic Fever,1
5527,2015-W22,Diphtheria,0
5528,2015-W22,Encephalitis,0
5529,2015-W22,Haemophilus influenzae type b,0
5530,2015-W22,"Hand, Foot Mouth Disease",721
5531,2015-W22,Legionellosis,0
5532,2015-W22,Malaria,1
5533,2015-W22,Measles,0
5534,2015-W22,Melioidosis,0
5535,2015-W22,Meningococcal Infection,0
5536,2015-W22,Mumps,9
5537,2015-W22,Nipah virus infection,0
5538,2015-W22,Paratyphoid,0
5539,2015-W22,Pertussis,0
5540,2015-W22,Plague,0
5541,2015-W22,Pneumococcal Disease (invasive),4
5542,2015-W22,Poliomyelitis,0
5543,2015-W22,Rubella,1
5544,2015-W22,Salmonellosis(non-enteric fevers),42
5545,2015-W22,SARS,0
5546,2015-W22,Typhoid,0
5547,2015-W22,Viral Hepatitis A,0
5548,2015-W22,Viral Hepatitis E,1
5549,2015-W22,Yellow Fever,0
5550,2015-W23,Acute Viral hepatitis B,1
5551,2015-W23,Acute Viral hepatitis C,0
5552,2015-W23,Avian Influenza,0
5553,2015-W23,Campylobacterenterosis,2
5554,2015-W23,Chikungunya Fever,0
5555,2015-W23,Cholera,0
5556,2015-W23,Dengue Fever,192
5557,2015-W23,Dengue Haemorrhagic Fever,1
5558,2015-W23,Diphtheria,0
5559,2015-W23,Encephalitis,1
5560,2015-W23,Haemophilus influenzae type b,0
5561,2015-W23,"Hand, Foot Mouth Disease",540
5562,2015-W23,Legionellosis,0
5563,2015-W23,Malaria,1
5564,2015-W23,Measles,1
5565,2015-W23,Melioidosis,3
5566,2015-W23,Meningococcal Infection,0
5567,2015-W23,Mumps,9
5568,2015-W23,Nipah virus infection,0
5569,2015-W23,Paratyphoid,0
5570,2015-W23,Pertussis,0
5571,2015-W23,Plague,0
5572,2015-W23,Pneumococcal Disease (invasive),2
5573,2015-W23,Poliomyelitis,0
5574,2015-W23,Rubella,0
5575,2015-W23,Salmonellosis(non-enteric fevers),26
5576,2015-W23,SARS,0
5577,2015-W23,Typhoid,1
5578,2015-W23,Viral Hepatitis A,1
5579,2015-W23,Viral Hepatitis E,1
5580,2015-W23,Yellow Fever,0
5581,2015-W24,Acute Viral hepatitis B,0
5582,2015-W24,Acute Viral hepatitis C,0
5583,2015-W24,Avian Influenza,0
5584,2015-W24,Campylobacterenterosis,5
5585,2015-W24,Chikungunya Fever,1
5586,2015-W24,Cholera,0
5587,2015-W24,Dengue Fever,207
5588,2015-W24,Dengue Haemorrhagic Fever,0
5589,2015-W24,Diphtheria,0
5590,2015-W24,Encephalitis,0
5591,2015-W24,Haemophilus influenzae type b,0
5592,2015-W24,"Hand, Foot Mouth Disease",541
5593,2015-W24,Legionellosis,1
5594,2015-W24,Malaria,1
5595,2015-W24,Measles,1
5596,2015-W24,Melioidosis,4
5597,2015-W24,Meningococcal Infection,1
5598,2015-W24,Mumps,13
5599,2015-W24,Nipah virus infection,0
5600,2015-W24,Paratyphoid,2
5601,2015-W24,Pertussis,1
5602,2015-W24,Plague,0
5603,2015-W24,Pneumococcal Disease (invasive),1
5604,2015-W24,Poliomyelitis,0
5605,2015-W24,Rubella,0
5606,2015-W24,Salmonellosis(non-enteric fevers),44
5607,2015-W24,SARS,0
5608,2015-W24,Typhoid,2
5609,2015-W24,Viral Hepatitis A,1
5610,2015-W24,Viral Hepatitis E,0
5611,2015-W24,Yellow Fever,0
5612,2015-W25,Acute Viral hepatitis B,2
5613,2015-W25,Acute Viral hepatitis C,0
5614,2015-W25,Avian Influenza,0
5615,2015-W25,Campylobacterenterosis,9
5616,2015-W25,Chikungunya Fever,0
5617,2015-W25,Cholera,0
5618,2015-W25,Dengue Fever,240
5619,2015-W25,Dengue Haemorrhagic Fever,0
5620,2015-W25,Diphtheria,0
5621,2015-W25,Encephalitis,0
5622,2015-W25,Haemophilus influenzae type b,0
5623,2015-W25,"Hand, Foot Mouth Disease",578
5624,2015-W25,Legionellosis,0
5625,2015-W25,Malaria,3
5626,2015-W25,Measles,0
5627,2015-W25,Melioidosis,0
5628,2015-W25,Meningococcal Infection,0
5629,2015-W25,Mumps,15
5630,2015-W25,Nipah virus infection,0
5631,2015-W25,Paratyphoid,0
5632,2015-W25,Pertussis,2
5633,2015-W25,Plague,0
5634,2015-W25,Pneumococcal Disease (invasive),5
5635,2015-W25,Poliomyelitis,0
5636,2015-W25,Rubella,0
5637,2015-W25,Salmonellosis(non-enteric fevers),39
5638,2015-W25,SARS,0
5639,2015-W25,Typhoid,1
5640,2015-W25,Viral Hepatitis A,0
5641,2015-W25,Viral Hepatitis E,1
5642,2015-W25,Yellow Fever,0
5643,2015-W26,Acute Viral hepatitis B,0
5644,2015-W26,Acute Viral hepatitis C,1
5645,2015-W26,Avian Influenza,0
5646,2015-W26,Campylobacterenterosis,7
5647,2015-W26,Chikungunya Fever,0
5648,2015-W26,Cholera,0
5649,2015-W26,Dengue Fever,242
5650,2015-W26,Dengue Haemorrhagic Fever,0
5651,2015-W26,Diphtheria,0
5652,2015-W26,Encephalitis,0
5653,2015-W26,Haemophilus influenzae type b,0
5654,2015-W26,"Hand, Foot Mouth Disease",455
5655,2015-W26,Legionellosis,0
5656,2015-W26,Malaria,0
5657,2015-W26,Measles,1
5658,2015-W26,Melioidosis,2
5659,2015-W26,Meningococcal Infection,1
5660,2015-W26,Mumps,10
5661,2015-W26,Nipah virus infection,0
5662,2015-W26,Paratyphoid,1
5663,2015-W26,Pertussis,1
5664,2015-W26,Plague,0
5665,2015-W26,Pneumococcal Disease (invasive),1
5666,2015-W26,Poliomyelitis,0
5667,2015-W26,Rubella,1
5668,2015-W26,Salmonellosis(non-enteric fevers),41
5669,2015-W26,SARS,0
5670,2015-W26,Typhoid,0
5671,2015-W26,Viral Hepatitis A,3
5672,2015-W26,Viral Hepatitis E,1
5673,2015-W26,Yellow Fever,0
5674,2015-W27,Acute Viral hepatitis B,1
5675,2015-W27,Acute Viral hepatitis C,0
5676,2015-W27,Avian Influenza,0
5677,2015-W27,Campylobacterenterosis,7
5678,2015-W27,Chikungunya Fever,0
5679,2015-W27,Cholera,0
5680,2015-W27,Dengue Fever,272
5681,2015-W27,Dengue Haemorrhagic Fever,0
5682,2015-W27,Diphtheria,0
5683,2015-W27,Encephalitis,0
5684,2015-W27,Haemophilus influenzae type b,0
5685,2015-W27,"Hand, Foot Mouth Disease",430
5686,2015-W27,Legionellosis,1
5687,2015-W27,Malaria,2
5688,2015-W27,Measles,5
5689,2015-W27,Melioidosis,0
5690,2015-W27,Meningococcal Infection,0
5691,2015-W27,Mumps,4
5692,2015-W27,Nipah virus infection,0
5693,2015-W27,Paratyphoid,0
5694,2015-W27,Pertussis,2
5695,2015-W27,Plague,0
5696,2015-W27,Pneumococcal Disease (invasive),5
5697,2015-W27,Poliomyelitis,0
5698,2015-W27,Rubella,0
5699,2015-W27,Salmonellosis(non-enteric fevers),23
5700,2015-W27,SARS,0
5701,2015-W27,Typhoid,0
5702,2015-W27,Viral Hepatitis A,4
5703,2015-W27,Viral Hepatitis E,0
5704,2015-W27,Yellow Fever,0
5705,2015-W28,Acute Viral hepatitis B,2
5706,2015-W28,Acute Viral hepatitis C,2
5707,2015-W28,Avian Influenza,0
5708,2015-W28,Campylobacterenterosis,6
5709,2015-W28,Chikungunya Fever,1
5710,2015-W28,Cholera,0
5711,2015-W28,Dengue Fever,263
5712,2015-W28,Dengue Haemorrhagic Fever,0
5713,2015-W28,Diphtheria,0
5714,2015-W28,Encephalitis,0
5715,2015-W28,Haemophilus influenzae type b,0
5716,2015-W28,"Hand, Foot Mouth Disease",385
5717,2015-W28,Legionellosis,0
5718,2015-W28,Malaria,2
5719,2015-W28,Measles,0
5720,2015-W28,Melioidosis,0
5721,2015-W28,Meningococcal Infection,0
5722,2015-W28,Mumps,10
5723,2015-W28,Nipah virus infection,0
5724,2015-W28,Paratyphoid,0
5725,2015-W28,Pertussis,0
5726,2015-W28,Plague,0
5727,2015-W28,Pneumococcal Disease (invasive),4
5728,2015-W28,Poliomyelitis,0
5729,2015-W28,Rubella,0
5730,2015-W28,Salmonellosis(non-enteric fevers),41
5731,2015-W28,SARS,0
5732,2015-W28,Typhoid,2
5733,2015-W28,Viral Hepatitis A,0
5734,2015-W28,Viral Hepatitis E,0
5735,2015-W28,Yellow Fever,0
5736,2015-W29,Acute Viral hepatitis B,3
5737,2015-W29,Acute Viral hepatitis C,2
5738,2015-W29,Avian Influenza,0
5739,2015-W29,Campylobacterenterosis,6
5740,2015-W29,Chikungunya Fever,3
5741,2015-W29,Cholera,0
5742,2015-W29,Dengue Fever,293
5743,2015-W29,Dengue Haemorrhagic Fever,0
5744,2015-W29,Diphtheria,0
5745,2015-W29,Encephalitis,1
5746,2015-W29,Haemophilus influenzae type b,0
5747,2015-W29,"Hand, Foot Mouth Disease",448
5748,2015-W29,Legionellosis,0
5749,2015-W29,Malaria,1
5750,2015-W29,Measles,2
5751,2015-W29,Melioidosis,0
5752,2015-W29,Meningococcal Infection,0
5753,2015-W29,Mumps,16
5754,2015-W29,Nipah virus infection,0
5755,2015-W29,Paratyphoid,0
5756,2015-W29,Pertussis,3
5757,2015-W29,Plague,0
5758,2015-W29,Pneumococcal Disease (invasive),3
5759,2015-W29,Poliomyelitis,0
5760,2015-W29,Rubella,0
5761,2015-W29,Salmonellosis(non-enteric fevers),43
5762,2015-W29,SARS,0
5763,2015-W29,Typhoid,0
5764,2015-W29,Viral Hepatitis A,0
5765,2015-W29,Viral Hepatitis E,1
5766,2015-W29,Yellow Fever,0
5767,2015-W30,Acute Viral hepatitis B,0
5768,2015-W30,Acute Viral hepatitis C,0
5769,2015-W30,Avian Influenza,0
5770,2015-W30,Campylobacterenterosis,7
5771,2015-W30,Chikungunya Fever,0
5772,2015-W30,Cholera,0
5773,2015-W30,Dengue Fever,250
5774,2015-W30,Dengue Haemorrhagic Fever,0
5775,2015-W30,Diphtheria,0
5776,2015-W30,Encephalitis,0
5777,2015-W30,Haemophilus influenzae type b,0
5778,2015-W30,"Hand, Foot Mouth Disease",438
5779,2015-W30,Legionellosis,0
5780,2015-W30,Malaria,2
5781,2015-W30,Measles,0
5782,2015-W30,Melioidosis,1
5783,2015-W30,Meningococcal Infection,1
5784,2015-W30,Mumps,5
5785,2015-W30,Nipah virus infection,0
5786,2015-W30,Paratyphoid,0
5787,2015-W30,Pertussis,0
5788,2015-W30,Plague,0
5789,2015-W30,Pneumococcal Disease (invasive),6
5790,2015-W30,Poliomyelitis,0
5791,2015-W30,Rubella,0
5792,2015-W30,Salmonellosis(non-enteric fevers),30
5793,2015-W30,SARS,0
5794,2015-W30,Typhoid,0
5795,2015-W30,Viral Hepatitis A,0
5796,2015-W30,Viral Hepatitis E,2
5797,2015-W30,Yellow Fever,0
5798,2015-W31,Acute Viral hepatitis B,0
5799,2015-W31,Acute Viral hepatitis C,0
5800,2015-W31,Avian Influenza,0
5801,2015-W31,Campylobacterenterosis,10
5802,2015-W31,Chikungunya Fever,3
5803,2015-W31,Cholera,0
5804,2015-W31,Dengue Fever,226
5805,2015-W31,Dengue Haemorrhagic Fever,0
5806,2015-W31,Diphtheria,0
5807,2015-W31,Encephalitis,1
5808,2015-W31,Haemophilus influenzae type b,0
5809,2015-W31,"Hand, Foot Mouth Disease",367
5810,2015-W31,Legionellosis,0
5811,2015-W31,Malaria,2
5812,2015-W31,Measles,1
5813,2015-W31,Melioidosis,1
5814,2015-W31,Meningococcal Infection,0
5815,2015-W31,Mumps,6
5816,2015-W31,Nipah virus infection,0
5817,2015-W31,Paratyphoid,0
5818,2015-W31,Pertussis,1
5819,2015-W31,Plague,0
5820,2015-W31,Pneumococcal Disease (invasive),2
5821,2015-W31,Poliomyelitis,0
5822,2015-W31,Rubella,0
5823,2015-W31,Salmonellosis(non-enteric fevers),36
5824,2015-W31,SARS,0
5825,2015-W31,Typhoid,1
5826,2015-W31,Viral Hepatitis A,1
5827,2015-W31,Viral Hepatitis E,3
5828,2015-W31,Yellow Fever,0
5829,2015-W32,Acute Viral hepatitis B,0
5830,2015-W32,Acute Viral hepatitis C,0
5831,2015-W32,Avian Influenza,0
5832,2015-W32,Campylobacterenterosis,7
5833,2015-W32,Chikungunya Fever,1
5834,2015-W32,Cholera,0
5835,2015-W32,Dengue Fever,221
5836,2015-W32,Dengue Haemorrhagic Fever,0
5837,2015-W32,Diphtheria,0
5838,2015-W32,Encephalitis,1
5839,2015-W32,Haemophilus influenzae type b,1
5840,2015-W32,"Hand, Foot Mouth Disease",478
5841,2015-W32,Legionellosis,0
5842,2015-W32,Malaria,1
5843,2015-W32,Measles,0
5844,2015-W32,Melioidosis,0
5845,2015-W32,Meningococcal Infection,0
5846,2015-W32,Mumps,7
5847,2015-W32,Nipah virus infection,0
5848,2015-W32,Paratyphoid,0
5849,2015-W32,Pertussis,0
5850,2015-W32,Plague,0
5851,2015-W32,Pneumococcal Disease (invasive),4
5852,2015-W32,Poliomyelitis,0
5853,2015-W32,Rubella,0
5854,2015-W32,Salmonellosis(non-enteric fevers),41
5855,2015-W32,SARS,0
5856,2015-W32,Typhoid,1
5857,2015-W32,Viral Hepatitis A,4
5858,2015-W32,Viral Hepatitis E,0
5859,2015-W32,Yellow Fever,0
5860,2015-W33,Acute Viral hepatitis B,2
5861,2015-W33,Acute Viral hepatitis C,0
5862,2015-W33,Avian Influenza,0
5863,2015-W33,Campylobacterenterosis,8
5864,2015-W33,Chikungunya Fever,2
5865,2015-W33,Cholera,0
5866,2015-W33,Dengue Fever,250
5867,2015-W33,Dengue Haemorrhagic Fever,0
5868,2015-W33,Diphtheria,0
5869,2015-W33,Encephalitis,0
5870,2015-W33,Haemophilus influenzae type b,0
5871,2015-W33,"Hand, Foot Mouth Disease",554
5872,2015-W33,Legionellosis,0
5873,2015-W33,Malaria,2
5874,2015-W33,Measles,2
5875,2015-W33,Melioidosis,1
5876,2015-W33,Meningococcal Infection,0
5877,2015-W33,Mumps,10
5878,2015-W33,Nipah virus infection,0
5879,2015-W33,Paratyphoid,2
5880,2015-W33,Pertussis,1
5881,2015-W33,Plague,0
5882,2015-W33,Pneumococcal Disease (invasive),3
5883,2015-W33,Poliomyelitis,0
5884,2015-W33,Rubella,0
5885,2015-W33,Salmonellosis(non-enteric fevers),44
5886,2015-W33,SARS,0
5887,2015-W33,Typhoid,0
5888,2015-W33,Viral Hepatitis A,0
5889,2015-W33,Viral Hepatitis E,1
5890,2015-W33,Yellow Fever,0
5891,2015-W34,Acute Viral hepatitis B,0
5892,2015-W34,Acute Viral hepatitis C,0
5893,2015-W34,Avian Influenza,0
5894,2015-W34,Campylobacterenterosis,8
5895,2015-W34,Chikungunya Fever,0
5896,2015-W34,Cholera,1
5897,2015-W34,Dengue Fever,225
5898,2015-W34,Dengue Haemorrhagic Fever,0
5899,2015-W34,Diphtheria,0
5900,2015-W34,Encephalitis,1
5901,2015-W34,Haemophilus influenzae type b,0
5902,2015-W34,"Hand, Foot Mouth Disease",533
5903,2015-W34,Legionellosis,0
5904,2015-W34,Malaria,1
5905,2015-W34,Measles,0
5906,2015-W34,Melioidosis,1
5907,2015-W34,Meningococcal Infection,0
5908,2015-W34,Mumps,10
5909,2015-W34,Nipah virus infection,0
5910,2015-W34,Paratyphoid,0
5911,2015-W34,Pertussis,1
5912,2015-W34,Plague,0
5913,2015-W34,Pneumococcal Disease (invasive),5
5914,2015-W34,Poliomyelitis,0
5915,2015-W34,Rubella,0
5916,2015-W34,Salmonellosis(non-enteric fevers),50
5917,2015-W34,SARS,0
5918,2015-W34,Typhoid,2
5919,2015-W34,Viral Hepatitis A,0
5920,2015-W34,Viral Hepatitis E,1
5921,2015-W34,Yellow Fever,0
5922,2015-W35,Acute Viral hepatitis B,0
5923,2015-W35,Acute Viral hepatitis C,0
5924,2015-W35,Avian Influenza,0
5925,2015-W35,Campylobacterenterosis,11
5926,2015-W35,Chikungunya Fever,0
5927,2015-W35,Cholera,0
5928,2015-W35,Dengue Fever,246
5929,2015-W35,Dengue Haemorrhagic Fever,0
5930,2015-W35,Diphtheria,0
5931,2015-W35,Encephalitis,1
5932,2015-W35,Haemophilus influenzae type b,0
5933,2015-W35,"Hand, Foot Mouth Disease",483
5934,2015-W35,Legionellosis,0
5935,2015-W35,Malaria,0
5936,2015-W35,Measles,0
5937,2015-W35,Melioidosis,0
5938,2015-W35,Meningococcal Infection,0
5939,2015-W35,Mumps,9
5940,2015-W35,Nipah virus infection,0
5941,2015-W35,Paratyphoid,0
5942,2015-W35,Pertussis,0
5943,2015-W35,Plague,0
5944,2015-W35,Pneumococcal Disease (invasive),3
5945,2015-W35,Poliomyelitis,0
5946,2015-W35,Rubella,1
5947,2015-W35,Salmonellosis(non-enteric fevers),58
5948,2015-W35,SARS,0
5949,2015-W35,Typhoid,0
5950,2015-W35,Viral Hepatitis A,5
5951,2015-W35,Viral Hepatitis E,0
5952,2015-W35,Yellow Fever,0
5953,2015-W36,Acute Viral hepatitis B,1
5954,2015-W36,Acute Viral hepatitis C,1
5955,2015-W36,Avian Influenza,0
5956,2015-W36,Campylobacterenterosis,9
5957,2015-W36,Chikungunya Fever,1
5958,2015-W36,Cholera,0
5959,2015-W36,Dengue Fever,217
5960,2015-W36,Dengue Haemorrhagic Fever,0
5961,2015-W36,Diphtheria,0
5962,2015-W36,Encephalitis,0
5963,2015-W36,Haemophilus influenzae type b,0
5964,2015-W36,"Hand, Foot Mouth Disease",407
5965,2015-W36,Legionellosis,0
5966,2015-W36,Malaria,3
5967,2015-W36,Measles,0
5968,2015-W36,Melioidosis,0
5969,2015-W36,Meningococcal Infection,0
5970,2015-W36,Mumps,7
5971,2015-W36,Nipah virus infection,0
5972,2015-W36,Paratyphoid,0
5973,2015-W36,Pertussis,3
5974,2015-W36,Plague,0
5975,2015-W36,Pneumococcal Disease (invasive),5
5976,2015-W36,Poliomyelitis,0
5977,2015-W36,Rubella,0
5978,2015-W36,Salmonellosis(non-enteric fevers),42
5979,2015-W36,SARS,0
5980,2015-W36,Typhoid,1
5981,2015-W36,Viral Hepatitis A,1
5982,2015-W36,Viral Hepatitis E,1
5983,2015-W36,Yellow Fever,0
5984,2015-W37,Acute Viral hepatitis B,0
5985,2015-W37,Acute Viral hepatitis C,0
