week_start,predicted_cases,lower,upper
2022-12-25,299.4742984281069,188.03257625832407,410.91602059788977
2023-01-01,337.66667190546934,190.6214143896583,484.7119294212804
2023-01-08,369.5893876816918,176.75403856420766,562.4247367991759
2023-01-15,358.35479616756976,122.59468213109295,594.1149102040465
2023-01-22,340.86701677967386,67.47160435241568,614.262429206932
2023-01-29,355.0534808733986,45.372707048003235,664.734254698794
2023-02-05,391.67692686820163,48.89425595950985,734.4595977768934
2023-02-12,386.4532627286706,12.727498039929912,760.1790274174114
2023-02-19,448.2584787462835,45.493056523175994,851.023900969391
2023-02-26,554.1692093477734,124.13288202498563,984.2055366705612
2023-03-05,606.0976906463865,150.2371476981042,1061.9582335946689
2023-03-12,626.0537667537724,145.67249057801865,1106.4350429295262
