origin_week,target_week,h,predicted,lower,upper,actual,abs_error,signed_error,in_pi,winkler_alpha20,p_exceed_200,p_exceed_300,p_exceed_400,p_exceed_500,model_kind
2014-12-21,2014-12-28,1,207.89734684943986,102.84507974604146,312.94961395283826,415.0,207.10265315056014,-207.10265315056014,False,1230.6083946784142,0.5383766345725469,0.13058727143184012,0.009549743132443944,0.00018293811621439282,sarima
2014-12-21,2015-01-04,2,244.75841097427113,97.70766802179475,391.8091539267475,228.0,16.75841097427113,16.75841097427113,True,294.10148590495277,0.6517633802527193,0.3150982565207693,0.0880300254310894,0.01305667024989865,sarima
2014-12-21,2015-01-11,3,158.7654104279524,-32.29909395915223,349.829914815057,237.0,78.23458957204761,-78.23458957204761,True,382.12900877420924,0.39104803730487503,0.1717285082106762,0.05281783154968467,0.011042778447300505,sarima
2014-12-21,2015-01-18,4,92.55636495110713,-142.05219965935055,327.1649295615648,259.0,166.44363504889287,-166.44363504889287,True,469.21712922091535,0.2786239891585426,0.12856394053939857,0.046529527964020545,0.013015501514321182,sarima
2014-12-21,2015-01-25,5,-11.598860412066013,-284.2985996936049,261.10087886947287,212.0,223.59886041206602,-223.59886041206602,True,545.3994785630778,0.16000294971699935,0.07154054098185036,0.026533171756369822,0.008100668918907372,sarima
2014-12-21,2015-02-01,6,27.08962516041968,-281.4040973733732,335.5833476942126,173.0,145.91037483958033,-145.91037483958033,True,616.9874450675858,0.2362752791185978,0.12844483316491306,0.06066547652523924,0.024727428320190814,sarima
2014-12-21,2015-02-08,7,121.55381581731072,-220.02637691372766,463.13400854834913,100.0,21.55381581731072,21.55381581731072,True,683.1603854620768,0.3842536229872401,0.25158017827481016,0.14807554233567166,0.07781545120574573,sarima
2014-12-21,2015-02-15,8,-53.97944806280841,-426.22944935440415,318.2705532287874,172.0,225.97944806280842,-225.97944806280842,True,744.5000025831915,0.19094682157652043,0.11147955710590773,0.05902841145155702,0.028243024969043184,sarima
2014-12-21,2015-02-22,9,-61.25214527922868,-462.25886217552846,339.7545716170711,190.0,251.25214527922867,-251.25214527922867,True,802.0134337925996,0.20187279631922694,0.12413817071850697,0.07022171274948219,0.036427545684902585,sarima
2014-12-21,2015-03-01,10,-38.41943135743498,-466.4490344747049,389.61017175983494,110.0,148.41943135743497,-148.41943135743497,True,856.0592062345398,0.23765317043411271,0.15546070486099361,0.09464049969172872,0.05346708631388741,sarima
2014-12-21,2015-03-08,11,-23.541269777238508,-477.1129542208461,430.03041466636915,91.0,114.54126977723851,-114.54126977723851,True,907.1433688872153,0.26381361281361304,0.180308628689535,0.11570261721930175,0.06952951733157053,sarima
2014-12-21,2015-03-15,12,-38.60787780277809,-516.4389860487738,439.2232304432176,130.0,168.6078778027781,-168.6078778027781,True,955.6622164919913,0.26109449931566975,0.18188979551095064,0.11971781153309413,0.07428365502167478,sarima
2015-01-18,2015-01-25,1,129.09849847423845,18.702820566726572,239.49417638175032,212.0,82.90150152576155,-82.90150152576155,True,220.79135581502373,0.2052238083352942,0.023626738819232496,0.0008306152545313195,8.317241734556724e-06,sarima
2015-01-18,2015-02-01,2,201.11690433129365,52.26750025552383,349.9663084070635,173.0,28.116904331293654,28.116904331293654,True,297.69880815153965,0.5038364076258688,0.19727696696896757,0.043412197315408796,0.005035284226584502,sarima
2015-01-18,2015-02-08,3,301.4379576698291,109.61141959574067,493.26449574391745,100.0,201.43795766982907,201.43795766982907,False,479.76727210558346,0.7510224116755106,0.5038325982465099,0.25510955670998336,0.09232049374019136,sarima
2015-01-18,2015-02-15,4,127.45198569175658,-106.62851624953286,361.532487633046,172.0,44.548014308243424,-44.548014308243424,True,468.1610038825789,0.3456087944510603,0.17240419056124368,0.06782190004493827,0.020689354883079436,sarima
2015-01-18,2015-02-22,5,126.28482006487457,-143.99516641050212,396.56480654025125,190.0,63.715179935125434,-63.715179935125434,True,540.5599729507534,0.3633423785505323,0.20505107728475958,0.09716276998655915,0.0381919852201954,sarima
2015-01-18,2015-03-01,6,149.7364724414549,-154.9747551369315,454.4477000198413,110.0,39.73647244145491,39.73647244145491,True,609.4224551567728,0.41628529504497724,0.2636931801086738,0.14626315759651154,0.07034981533187445,sarima
2015-01-18,2015-03-08,7,165.914886936715,-170.42145435007023,502.2512282235002,91.0,74.91488693671499,74.91488693671499,True,672.6726825735705,0.4483305464760269,0.3047009173769206,0.1862032675490517,0.10150516032172774,sarima
