week_start,predicted_cases,lower,upper
2022-12-25,304.8589038827367,193.72435736738956,415.99345039808384
2023-01-01,340.81370288100084,194.37959217305942,487.2478135889422
2023-01-08,380.09803202717046,188.43194044547255,571.7641236088684
2023-01-15,373.8208564038889,138.81319067139398,608.8285221363839
2023-01-22,352.9812282489061,80.43456187822756,625.5278946195847
2023-01-29,362.60287822904587,53.536646721537636,671.6691097365541
2023-02-05,400.2102934954792,57.816532272281165,742.6040547186773
2023-02-12,398.7408164634765,25.21292611176642,772.2687068151865
2023-02-19,457.47020698325895,54.65506414924306,860.2853498172749
2023-02-26,565.2809339253297,134.98014678425392,995.5817210664054
2023-03-05,622.0002679692652,165.65928813319454,1078.341247805336
2023-03-12,638.5171927663005,157.4471151736749,1119.5872703589262
