threshold,n_pairs,tp,fp,tn,fn,precision,recall,f1,brier_score,mae_overall,smape_overall,model_kind
200,1224,475,154,488,107,0.7551669316375199,0.8161512027491409,0.7844756399669696,0.15148048141947076,171.66138574396535,0.6855253630896878,sarima
300,1224,291,153,695,85,0.6554054054054054,0.773936170212766,0.7097560975609756,0.135145327208583,171.66138574396535,0.6855253630896878,sarima
400,1224,189,121,853,61,0.6096774193548387,0.756,0.6749999999999999,0.11028893618297503,171.66138574396535,0.6855253630896878,sarima
500,1224,145,96,936,47,0.6016597510373444,0.7552083333333334,0.6697459584295612,0.0837415383248538,171.66138574396535,0.6855253630896878,sarima
200,744,350,80,265,49,0.813953488372093,0.8771929824561403,0.8443908323281062,0.12989020197625198,204.84722501693938,0.5911072411355067,sarimax
300,744,249,79,347,69,0.7591463414634146,0.7830188679245284,0.7708978328173376,0.13968719237196356,204.84722501693938,0.5911072411355067,sarimax
400,744,173,83,442,46,0.67578125,0.7899543378995434,0.728421052631579,0.13024004220565083,204.84722501693938,0.5911072411355067,sarimax
500,744,137,74,499,34,0.6492890995260664,0.8011695906432749,0.7172774869109948,0.10508955557249376,204.84722501693938,0.5911072411355067,sarimax
