feature,feature_label,lag_weeks,pearson_r,spearman_rho,overlap_weeks,analysis_start,analysis_end,abs_pearson_r
avg_relative_humidity_pct,Humidity,49,-0.2054113113760995,-0.14324144742234352,305,2017-02-19,2022-12-18,0.2054113113760995
avg_temp_c,Temperature,49,0.26762129308902777,0.13860772642085598,305,2017-02-19,2022-12-18,0.26762129308902777
avg_wind_speed,Wind,11,-0.28664944762388544,-0.23224067288523664,342,2016-05-29,2022-12-18,0.28664944762388544
warm_day_share,Warm-day share,49,0.1377357423693692,0.12970028149701718,305,2017-02-19,2022-12-18,0.1377357423693692
