week_start,Dengue Fever,Dengue Haemorrhagic Fever,Total Dengue Cases,moving_avg_12w,avg_temp_c,min_temp_c,max_temp_c,avg_relative_humidity_pct,avg_wind_speed,warm_day_share,source_rows,source_query_start,source_query_end,weather_lag_days,weather_overlap_flag
2013-06-16,838,4,842,626.0,,,,,,,,,,,0
2013-06-23,802,4,806,659.3333333333334,,,,,,,,,,,0
2013-06-30,676,2,678,674.8333333333334,,,,,,,,,,,0
2013-07-07,540,1,541,677.5,,,,,,,,,,,0
2013-07-14,389,1,390,665.1666666666666,,,,,,,,,,,0
2013-07-21,305,1,306,645.0833333333334,,,,,,,,,,,0
2013-07-28,288,1,289,622.6666666666666,,,,,,,,,,,0
2013-08-04,255,1,256,593.0833333333334,,,,,,,,,,,0
2013-08-11,378,0,378,571.25,,,,,,,,,,,0
2013-08-18,338,3,341,537.5,,,,,,,,,,,0
2013-08-25,382,4,386,501.8333333333333,,,,,,,,,,,0
2013-09-01,449,3,452,472.0833333333333,,,,,,,,,,,0
2013-09-08,337,2,339,430.1666666666667,,,,,,,,,,,0
2013-09-15,370,6,376,394.3333333333333,,,,,,,,,,,0
2013-09-22,402,4,406,371.6666666666667,,,,,,,,,,,0
2013-09-29,439,2,441,363.3333333333333,,,,,,,,,,,0
2013-10-06,435,3,438,367.3333333333333,,,,,,,,,,,0
2013-10-13,371,3,374,373.0,,,,,,,,,,,0
2013-10-20,495,0,495,390.1666666666667,,,,,,,,,,,0
2013-10-27,457,1,458,407.0,,,,,,,,,,,0
2013-11-03,401,1,402,409.0,,,,,,,,,,,0
2013-11-10,442,2,444,417.5833333333333,,,,,,,,,,,0
2013-11-17,365,0,365,415.8333333333333,,,,,,,,,,,0
2013-11-24,372,0,372,409.1666666666667,,,,,,,,,,,0
2013-12-01,347,0,347,409.8333333333333,,,,,,,,,,,0
2013-12-08,380,1,381,410.25,,,,,,,,,,,0
2013-12-15,371,0,371,407.3333333333333,,,,,,,,,,,0
2013-12-22,414,0,414,405.0833333333333,,,,,,,,,,,0
2013-12-29,436,1,437,405.0,,,,,,,,,,,0
2014-01-05,479,0,479,413.75,,,,,,,,,,,0
2014-01-12,401,0,401,405.9166666666667,,,,,,,,,,,0
2014-01-19,336,0,336,395.75,,,,,,,,,,,0
2014-01-26,234,0,234,381.75,,,,,,,,,,,0
2014-02-02,273,1,274,367.5833333333333,,,,,,,,,,,0
2014-02-09,369,0,369,367.9166666666667,,,,,,,,,,,0
2014-02-16,193,1,194,353.0833333333333,,,,,,,,,,,0
2014-02-23,186,1,187,339.75,,,,,,,,,,,0
2014-03-02,209,1,210,325.5,,,,,,,,,,,0
2014-03-09,224,1,225,313.3333333333333,,,,,,,,,,,0
2014-03-16,210,0,210,296.3333333333333,,,,,,,,,,,0
2014-03-23,225,0,225,278.6666666666667,,,,,,,,,,,0
2014-03-30,240,0,240,258.75,,,,,,,,,,,0
2014-04-06,244,1,245,245.75,,,,,,,,,,,0
2014-04-13,235,0,235,237.33333333333334,,,,,,,,,,,0
2014-04-20,282,0,282,241.33333333333334,,,,,,,,,,,0
2014-04-27,251,0,251,239.41666666666666,,,,,,,,,,,0
2014-05-04,261,0,261,230.41666666666666,,,,,,,,,,,0
2014-05-11,291,0,291,238.5,,,,,,,,,,,0
2014-05-18,427,1,428,258.5833333333333,,,,,,,,,,,0
2014-05-25,456,0,456,279.0833333333333,,,,,,,,,,,0
2014-06-01,458,1,459,298.5833333333333,,,,,,,,,,,0
2014-06-08,506,0,506,323.25,,,,,,,,,,,0
2014-06-15,550,1,551,350.4166666666667,,,,,,,,,,,0
2014-06-22,671,0,671,386.3333333333333,,,,,,,,,,,0
2014-06-29,888,3,891,440.1666666666667,,,,,,,,,,,0
2014-07-06,818,1,819,488.8333333333333,,,,,,,,,,,0
2014-07-13,744,2,746,527.5,,,,,,,,,,,0
2014-07-20,633,1,634,559.4166666666666,,,,,,,,,,,0
2014-07-27,484,0,484,578.0,,,,,,,,,,,0
2014-08-03,545,0,545,599.1666666666666,,,,,,,,,,,0
2014-08-10,438,0,438,600.0,,,,,,,,,,,0
2014-08-17,418,0,418,596.8333333333334,,,,,,,,,,,0
2014-08-24,367,0,367,589.1666666666666,,,,,,,,,,,0
2014-08-31,339,0,339,575.25,,,,,,,,,,,0
