query_date,record_date,updated_timestamp,timestamp,valid_period_start,valid_period_end,valid_period_text,general_forecast_code,general_forecast_text,temperature_low_c,temperature_high_c,relative_humidity_low_pct,relative_humidity_high_pct,wind_speed_low,wind_speed_high,wind_direction,period_count,period_1_start,period_1_end,period_1_text,period_1_west_forecast_code,period_1_west_forecast_text,period_1_east_forecast_code,period_1_east_forecast_text,period_1_central_forecast_code,period_1_central_forecast_text,period_1_north_forecast_code,period_1_north_forecast_text,period_1_south_forecast_code,period_1_south_forecast_text,period_2_start,period_2_end,period_2_text,period_2_west_forecast_code,period_2_west_forecast_text,period_2_east_forecast_code,period_2_east_forecast_text,period_2_central_forecast_code,period_2_central_forecast_text,period_2_north_forecast_code,period_2_north_forecast_text,period_2_south_forecast_code,period_2_south_forecast_text,period_3_start,period_3_end,period_3_text,period_3_west_forecast_code,period_3_west_forecast_text,period_3_east_forecast_code,period_3_east_forecast_text,period_3_central_forecast_code,period_3_central_forecast_text,period_3_north_forecast_code,period_3_north_forecast_text,period_3_south_forecast_code,period_3_south_forecast_text,period_4_start,period_4_end,period_4_text,period_4_west_forecast_code,period_4_west_forecast_text,period_4_east_forecast_code,period_4_east_forecast_text,period_4_central_forecast_code,period_4_central_forecast_text,period_4_north_forecast_code,period_4_north_forecast_text,period_4_south_forecast_code,period_4_south_forecast_text,temperature_unit,relative_humidity_unit,weather_source,weather_source_url
2019-06-13,2019-06-13,2019-06-13T05:51:16+08:00,2019-06-13T05:32:00+08:00,2019-06-13T06:00:00+08:00,2019-06-14T06:00:00+08:00,6 AM 13 Jun - 6 AM 14 Jun,SH,Showers,25.0,34.0,60.0,95.0,15.0,30.0,SSE,1,2019-06-13T18:00:00+08:00,2019-06-14T06:00:00+08:00,6 pm 13 Jun to 6 am 14 Jun,PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T08:51:15+08:00,2019-06-13T08:31:00+08:00,2019-06-13T06:00:00+08:00,2019-06-14T06:00:00+08:00,6 AM 13 Jun - 6 AM 14 Jun,SH,Showers,25.0,33.0,60.0,95.0,15.0,30.0,SSE,1,2019-06-13T18:00:00+08:00,2019-06-14T06:00:00+08:00,6 pm 13 Jun to 6 am 14 Jun,PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T12:06:15+08:00,2019-06-13T11:54:00+08:00,2019-06-13T12:00:00+08:00,2019-06-14T12:00:00+08:00,12 PM 13 Jun - 12 PM 14 Jun,TL,Thundery Showers,25.0,33.0,60.0,95.0,15.0,30.0,SSE,1,2019-06-14T06:00:00+08:00,2019-06-14T12:00:00+08:00,6 am to Midday 14 Jun,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T14:21:15+08:00,2019-06-13T14:08:00+08:00,2019-06-13T12:00:00+08:00,2019-06-14T12:00:00+08:00,12 PM 13 Jun - 12 PM 14 Jun,TL,Thundery Showers,25.0,33.0,60.0,95.0,15.0,30.0,SSE,1,2019-06-14T06:00:00+08:00,2019-06-14T12:00:00+08:00,6 am to Midday 14 Jun,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T14:36:16+08:00,2019-06-13T14:16:00+08:00,2019-06-13T12:00:00+08:00,2019-06-14T12:00:00+08:00,12 PM 13 Jun - 12 PM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,30.0,SSE,1,2019-06-14T06:00:00+08:00,2019-06-14T12:00:00+08:00,6 am to Midday 14 Jun,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T16:36:14+08:00,2019-06-13T16:18:00+08:00,2019-06-13T12:00:00+08:00,2019-06-14T12:00:00+08:00,12 PM 13 Jun - 12 PM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,30.0,SSE,1,2019-06-14T06:00:00+08:00,2019-06-14T12:00:00+08:00,6 am to Midday 14 Jun,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),TL,Thundery Showers,PC,Partly Cloudy (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T18:06:15+08:00,2019-06-13T17:57:00+08:00,2019-06-13T18:00:00+08:00,2019-06-14T18:00:00+08:00,6 PM 13 Jun - 6 PM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,25.0,SSE,1,2019-06-14T12:00:00+08:00,2019-06-14T18:00:00+08:00,Midday to 6 pm 14 Jun,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T19:36:15+08:00,2019-06-13T19:22:00+08:00,2019-06-13T18:00:00+08:00,2019-06-14T18:00:00+08:00,6 PM 13 Jun - 6 PM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,25.0,SSE,1,2019-06-14T12:00:00+08:00,2019-06-14T18:00:00+08:00,Midday to 6 pm 14 Jun,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T21:36:15+08:00,2019-06-13T21:21:00+08:00,2019-06-13T18:00:00+08:00,2019-06-14T18:00:00+08:00,6 PM 13 Jun - 6 PM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,25.0,SSE,1,2019-06-14T12:00:00+08:00,2019-06-14T18:00:00+08:00,Midday to 6 pm 14 Jun,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
2019-06-13,2019-06-13,2019-06-13T23:21:15+08:00,2019-06-13T23:04:00+08:00,2019-06-14T00:00:00+08:00,2019-06-14T00:00:00+08:00,12 AM 14 Jun - 12 AM 14 Jun,TL,Thundery Showers,25.0,32.0,65.0,95.0,15.0,25.0,SSE,1,2019-06-14T18:00:00+08:00,2019-06-15T00:00:00+08:00,6 pm to Midnight 14 Jun,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historical_collection,C:\Users\davin\OneDrive\Documents\Python stuffs\NEA Dengue Model\weather_history_raw\historical_24hr_weather_forecast_2019_d_d60871bc3b7e3889672ed0f1d53e7fc0.csv
